﻿﻿﻿﻿﻿﻿﻿﻿idx,card_name,company,card_type,brands,annual_fee,pre_month_money,pre_month_condition,top_benefit_summary,benefit_categories,only_online,release_dt,card_img,detail_url,detailed_benefits
778,GS SHOP KB국민카드,KB국민카드,신용,"VISA, UnionPay","국내전용 [25,000]원 / 해외겸용 [25,000]원",400000,"400,000원",온라인쇼핑: 12% | 편의점: 10% | 통신: 5%,"교통, 통신, 마트/편의점, 쇼핑, 카페/디저트, 뷰티/피트니스, 레저/스포츠",false,,https://d1c5n4ri2guedi.cloudfront.net/card/778/card_img/22252/778card.png,https://www.card-gorilla.com/card/detail/778,온라인쇼핑: GS SHOP 12% 청구 할인 | 대형마트: 대형마트 5% 청구 할인 | 통신: 이동통신 5% 청구 할인 | 카페: 커피 10% 청구 할인 | 편의점: 편의점 10% 청구 할인 | 택시: 택시 10% 청구 할인 | 레저/스포츠: 미용실/화장품/문화센터/스포츠 5% 청구 할인
2139,세븐일레븐 멤버쉽롯데카드,롯데카드,신용,,"국내전용 [5,000]원",0,없음,편의점: 10% | 연회비지원: 무제한 | 헤어: 20%,"주유, 마트/편의점, 쇼핑, 푸드, 카페/디저트, 뷰티/피트니스, 무실적, 레저/스포츠, OTT/영화/문화, 항공마일리지, 여행/숙박, 해외",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2139/card_img/21873/2139card.png,https://www.card-gorilla.com/card/detail/2139,"편의점: 혜택 | 연회비지원: 2차년도부터 전년도 유실적시 당해년도 기본연회비 면제 | 헤어: 박준뷰티랩 | 테마파크: 롯데월드 종합이용권 50% 할인 | 경기관람: 대상 | 쇼핑: 롯데백화점 5% 할인 e-쿠폰 및 무료 주차권 제공 | 여행/숙박: 해외항공권 | 공연/전시: 뮤지컬, 연극 등 공연 10~30% 할인 | 푸드: 보네스뻬/보네스뻬브레드 10% 할인 | 주유소: SK주유소 리터당 SK주유포인트 50원적립 | 멤버십포인트: 국내 및 해외 가맹점에서 사용한 금액에 대해 0.2% 적립"
1996,NH올원 LG전자BEST카드,NH농협카드,신용,"Mastercard, JCB","해외겸용 [15,000]원",300000,"300,000원",기타: 20000원 | 카페/디저트: 10% | 카페/디저트: 10%,"카페/디저트, 공과금/렌탈, 레저/스포츠, OTT/영화/문화",false,,https://d1c5n4ri2guedi.cloudfront.net/card/1996/card_img/22002/1996card.png,https://www.card-gorilla.com/card/detail/1996,렌탈: LG Best Shop 라이트할부 및 렌탈료 자동이체 할인서비스 | 생활할인: 생활할인 서비스 | 테마파크: 전국 주요 놀이공원 할인
1630,한화생명 Family카드 (골프형),우리카드,신용,"BC Global, Mastercard","해외겸용 [5,000]원 / 해외겸용 [10,000]원",300000,"300,000원",주유: 무제한 | 택시: 5% | 통신: 3%,"교통, 주유, 통신, 마트/편의점, 카페/디저트, 레저/스포츠, 항공마일리지, 여행/숙박",false,,https://d1c5n4ri2guedi.cloudfront.net/card/1630/card_img/22552/1630card.png,https://www.card-gorilla.com/card/detail/1630,"주유: SK주유소(LPG포함) 주유 할인 | 교통: 전국 버스, 지하철 대중교통비 할인 | 여행/숙박: 항공권 할인 | 통신: KT, SKT, LGU+ 매월 청구금액의 3% 청구할인 | 할인: 커피전문점 할인 | 테마파크: 놀이공원 자유이용권 50% 현장할인 | 영화: 영화관 할인 | 여행/숙박: 해외 호텔 최대 10% 할인 | 기타: 한화그룹 계열사 서비스 상세내용 및 문의는 한화생명 사내 홈페이지에 게시된 상품설명서를 참조하시길 바랍니다."
2385,Flex카드 몽블랑 에디션,롯데카드,신용,Mastercard,"국내전용 [100,000]원 / 해외겸용 [100,000]원",500000,"500,000원",모든가맹점: 0.5% | 디지털구독: 30% | 카페: 50%,"모든가맹점, 카페/디저트, OTT/영화/문화, 프리미엄, 해외",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2385/card_img/25501/2385card.png,https://www.card-gorilla.com/card/detail/2385,프리미엄 서비스: 몽블랑 에디션이 드리는 프리미엄 선물 | 모든가맹점: 국내외 가맹점 L.POINT 0.5% 적립 | 생활: 스트리밍&middot;커피 결제일 할인 | 면세점: 롯데면세점 5~15% 현장할인(정상가 기준) | 멤버십포인트: L.POINT | 프리미엄 서비스: Master WORLD 서비스(Master WORLD 카드 발급시 제공)
2434,갤러리아 KB국민카드,KB국민카드,신용,VISA,"국내전용 [15,000]원 / 해외겸용 [15,000]원",500000,"500,000원",백화점: 5% | 온라인쇼핑: 5% | 멤버십포인트: 무제한,쇼핑,false,,https://d1c5n4ri2guedi.cloudfront.net/card/2434/card_img/27302/2434card.png,https://www.card-gorilla.com/card/detail/2434,백화점: 갤러리아 백화점 5% 현장할인 | 온라인쇼핑: 갤러리아 백화점(Mall) 5% 청구할인 | 멤버십포인트: 갤러리아 마일리지 적립 | 선택형: 갤러리아 KB국민카드 디자인 선택
2369,Happy 디지털카드,롯데카드,신용,"VISA, Mastercard","국내전용 [15,000원] /  해외겸용 [15,000원]",300000,"300,000원",해피포인트: 10% | 생활: 5% | 모든가맹점: 0.5%,"모든가맹점, 교통, 마트/편의점, 푸드, 교육/육아, 프리미엄",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2369/card_img/25141/2369card.png,https://www.card-gorilla.com/card/detail/2369,"해피포인트: 해피포인트 가맹점에서 10% 해피포인트 적립 | 생활: 일상 가맹점, 업종에서 5% 해피포인트 적립 | 모든가맹점: 국내외 온&middot;오프라인 가맹점에서 최대 0.5% 해피포인트 적립 | 멤버십포인트: 해피포인트 가맹점 이용 시 5% 현장적립 | 프리미엄 서비스: Platinum 등급의 서비스 제공 | 선택형: 플레이트 디자인 선택 가능"
2608,대성학원 신한카드,신한카드,신용,VISA,"국내전용 [30,000]원 / 해외겸용 [33,000]원",300000,"300,000원",교육/육아: 5% | 주유: 무제한 | 테마파크: 50%,"주유, 교육/육아, 레저/스포츠",false,2023-08-01,https://d1c5n4ri2guedi.cloudfront.net/card/2608/card_img/31237/2608card.png,https://www.card-gorilla.com/card/detail/2608,학원: 대성학원 및 학원업종 3~5% 캐시백 | 주유: GS칼텍스 주유시 리터랑 40원 결제일 할인 | 테마파크: 테마파크 자유이용권 본인 할인
2511,신한카드 봄,신한카드,신용,Mastercard,"국내전용 [17,000원] / 해외겸용 [20,000원]",0,없음,캐시백: 0.5% | 교통: 200원 | 디지털구독: 10000원,"모든가맹점, 교통, 무실적, OTT/영화/문화",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2511/card_img/28736/2511card.png,https://www.card-gorilla.com/card/detail/2511,캐시백: 국내외 이용금액 최대 0.5% 캐시백 | 대중교통: 버스/지하철 후불교통 이용금액 캐시백 | 디지털구독: 디지털 구독 이용금액 캐시백
2501,부자되세요 The Oil 카드,BC 바로카드,신용,"VISA, UnionPay","해외겸용 [5,000원]",300000,"300,000원",주유: 150원 | 쇼핑: 5% | 패밀리레스토랑: 20%,"교통, 주유, 마트/편의점, 쇼핑, 푸드, 카페/디저트, 공과금/렌탈",false,,https://d1c5n4ri2guedi.cloudfront.net/card/2501/card_img/28619/2501card.png,https://www.card-gorilla.com/card/detail/2501,주유소: GS칼텍스 리터당 최대 150원 할인 | 온라인쇼핑: 온라인쇼핑 10% 청구할인 | 백화점: 백화점업종 5% 청구할인 | 대형마트: 대형마트 5% 청구할인 | 패밀리레스토랑: 패밀리레스토랑 20% 청구할인 | 카페: 커피 전문점 10% 청구할인 | 대중교통: 대중교통 이용액 10% 청구할인 | 보험사: 삼성화재 Travel Master 보험 서비스 무료 제공
